Time,Name,State,PID,PPID,PGRP,AvgCPUPerc,CurCPUPerc,MinFlt,MajFlt,UserTimeJiffies,SystemTimeJiffies,UserTimePerc,SystemTimePerc,Priority,Nice,Threads,StartTimeJiffies,RunTimeSecs,VmPeakkB,VmSizekB,VmLckkB,VmHWMkB,VmRsskB,VmSwapkB,TotReadBytes,CurReadBytesPerSec,TotReadBytesStorage,CurReadBytesStoragePerSec,TotWrittenBytes,CurWrittenBytesPerSec,TotWrittenBytesStorage,CurWrittenBytesStoragePerSec,TotReadCalls,CurReadCalls,TotWriteCalls,CurWriteCalls
869.650201350,audria,R,4523,4522,4522,0.00,0.0,31,0,0,0,-nan,-nan,20,0,1,86964,0.01,4,4,0,4,4,0,1524,0.0,131072,0.0,0,0.0,0,0.0,5,0.0,0,0.0
869.750261726,FluidGamelan,S,4523,4522,4522,18.18,19.99,2134,48,1,1,50.00,50.00,20,0,3,86964,0.11,179004,114140,1780,18628,18608,0,1912418,19097409.75,5476352,53420546.81,112,1119.32,0,0.00,124,1189.28,9,89.95
869.850429745,FluidGamelan,S,4523,4522,4522,9.52,0.00,2137,48,1,1,50.00,50.00,20,0,3,86964,0.21,179004,114140,1780,18628,18608,0,1912418,0.00,5476352,0.00,112,0.00,0,0.00,124,0.00,9,0.00
869.950664221,FluidGamelan,S,4523,4522,4522,6.45,0.00,2137,48,1,1,50.00,50.00,20,0,3,86964,0.31,179004,114140,1780,18628,18608,0,1912418,0.00,5476352,0.00,112,0.00,0,0.00,124,0.00,9,0.00
870.050589519,FluidGamelan,S,4523,4522,4522,4.88,0.00,2137,48,1,1,50.00,50.00,20,0,3,86964,0.41,179004,114140,1780,18628,18608,0,1912418,0.00,5476352,0.00,112,0.00,0,0.00,124,0.00,9,0.00
870.150446631,FluidGamelan,S,4523,4522,4522,3.92,0.00,2137,48,1,1,50.00,50.00,20,0,3,86964,0.51,179004,114140,1780,18628,18608,0,1912418,0.00,5476352,0.00,112,0.00,0,0.00,124,0.00,9,0.00
870.250349420,FluidGamelan,S,4523,4522,4522,3.28,0.00,2137,48,1,1,50.00,50.00,20,0,3,86964,0.61,179004,114140,1780,18628,18608,0,1912418,0.00,5476352,0.00,112,0.00,0,0.00,124,0.00,9,0.00
870.350301010,FluidGamelan,S,4523,4522,4522,2.82,0.00,2137,48,1,1,50.00,50.00,20,0,3,86964,0.71,179004,114140,1780,18628,18608,0,1912418,0.00,5476352,0.00,112,0.00,0,0.00,124,0.00,9,0.00
870.450302590,FluidGamelan,S,4523,4522,4522,2.47,0.00,2137,48,1,1,50.00,50.00,20,0,3,86964,0.81,179004,114140,1780,18628,18608,0,1912418,0.00,5476352,0.00,112,0.00,0,0.00,124,0.00,9,0.00
870.550534510,FluidGamelan,S,4523,4522,4522,2.20,0.00,2137,48,1,1,50.00,50.00,20,0,3,86964,0.91,179004,114140,1780,18628,18608,0,1912418,0.00,5476352,0.00,112,0.00,0,0.00,124,0.00,9,0.00
